Date : 2025-09-30 09:14:45
Directory : d:\Tuanjie Projects\UGJ2025\Assets
Total : 95 files,  11760 codes, 1023 comments, 1876 blanks, all 14659 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\HorizontalCardHolder.cs                                | C#          |        190 |         14 |         50 |        254 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\LevelSelectRoot.cs                                 | C#          |         19 |          1 |          3 |         23 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\MapGrid.cs                                         | C#          |         58 |          4 |         11 |         73 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\MapGridManager.cs                                  | C#          |        103 |          3 |         25 |        131 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\PlayerInMap.cs                                     | C#          |        177 |          6 |         28 |        211 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\PanelManager.cs                                        | C#          |         67 |          2 |         12 |         81 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\PlayerSwitchManager.cs                                 | C#          |        123 |          9 |         31 |        163 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\EnemyUnit.cs                                      | C#          |        160 |         14 |         38 |        212 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\GameGrid.cs                                       | C#          |         74 |          6 |         16 |         96 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\GridNode.cs                                       | C#          |         16 |          0 |          3 |         19 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\HealthSystem.cs                                   | C#          |         46 |          9 |         12 |         67 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\IsoGrid2D.cs                                      | C#          |        343 |         21 |         78 |        442 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\UnitController.cs                                 | C#          |        213 |         13 |         48 |        274 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\ShaderCode.cs                                          | C#          |         45 |          8 |         14 |         67 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Store.cs                                               | C#          |         24 |          2 |          8 |         34 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\TurnManager.cs                                         | C#          |        117 |          6 |         24 |        147 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\VisualCardsHandler.cs                                  | C#          |         17 |          2 |          7 |         26 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\_SciptableObjects\CurveParameters.cs                   | C#          |          9 |          0 |          2 |         11 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\_Utility\ExtensionMethods.cs                           | C#          |          7 |          0 |          2 |          9 |
| d:\Tuanjie Projects\UGJ2025\Assets\ShaderGraph\sdfOutline.shader                                  | UnityShader |         76 |          2 |         17 |         95 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Blur.shader                               | UnityShader |         63 |          3 |         10 |         76 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\ColorSwap.shader                          | UnityShader |         54 |          0 |         10 |         64 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Fade.shader                               | UnityShader |         50 |          0 |         12 |         62 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\FadeController.cs                         | C#          |         35 |          0 |          5 |         40 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Ghost.shader                              | UnityShader |         44 |          1 |         10 |         55 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Glitch.shader                             | UnityShader |         44 |         16 |         11 |         71 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Glow.shader                               | UnityShader |         63 |          0 |         15 |         78 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Gradient.shader                           | UnityShader |         51 |          1 |          9 |         61 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Hologram.shader                           | UnityShader |         57 |          1 |         11 |         69 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\HueShift.shader                           | UnityShader |         52 |          1 |         10 |         63 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\InnerOutline.shader                       | UnityShader |         49 |          3 |         12 |         64 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Outline.shader                            | UnityShader |         72 |          4 |         21 |         97 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Pixel.shader                              | UnityShader |         42 |          2 |          8 |         52 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Shadow.shader                             | UnityShader |         42 |          1 |          8 |         51 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Shine.shader                              | UnityShader |         53 |          0 |         10 |         63 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\TikTok.shader                             | UnityShader |         41 |          6 |          9 |         56 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Distortion.shader                            | UnityShader |         49 |          1 |          9 |         59 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Fill.shader                                  | UnityShader |         46 |          4 |          9 |         59 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\FishEye.shader                               | UnityShader |         44 |          0 |          9 |         53 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\HandDrawn.shader                             | UnityShader |         43 |          0 |          8 |         51 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Pinch.shader                                 | UnityShader |         41 |          6 |         10 |         57 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Scroll.shader                                | UnityShader |         40 |          1 |          8 |         49 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Shake.shader                                 | UnityShader |         42 |          0 |          8 |         50 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Twist.shader                                 | UnityShader |         48 |          2 |          9 |         59 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Wave.shader                                  | UnityShader |         47 |          4 |          9 |         60 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Zoom.shader                                  | UnityShader |         42 |          0 |          8 |         50 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader            | UnityShader |        109 |          2 |         33 |        144 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                  | UnityShader |        112 |          3 |         31 |        146 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                         | UnityShader |        109 |          2 |         33 |        144 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                    | UnityShader |        243 |          4 |         71 |        318 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                        | UnityShader |        241 |          4 |         66 |        311 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader             | UnityShader |        188 |         10 |         50 |        248 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader             | UnityShader |        183 |          8 |         50 |        241 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                 | UnityShader |         82 |          4 |         21 |        107 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                     | UnityShader |        183 |          8 |         50 |        241 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader             | UnityShader |        103 |          8 |         28 |        139 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                    | UnityShader |        122 |          4 |         33 |        159 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                            | UnityShader |        243 |          4 |         71 |        318 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                         | UnityShader |         97 |          0 |         20 |        117 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro.cginc                               | UnityShader |         63 |          2 |         20 |         85 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                        | UnityShader |        122 |          2 |         34 |        158 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                    | UnityShader |         62 |         10 |         14 |         86 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                       | UnityShader |         76 |          7 |         19 |        102 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Sprites\EmojiOne.json                             | JSON        |        155 |          0 |          2 |        157 |
| Total                                                                                             |             |     11,760 |      1,023 |      1,876 |     14,659 |
+---------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
